F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,age,Z
3.31341E-26,5.12598E-26,2.15865E-25,2.85307E-24,8.12605E-24,8.39761E-24,2.46167E-23,9.40564E-23,1.93395E-22,2.22365E-22,2.40002E-22,1.00E+10,0.00049
2.10801E-25,3.37687E-25,7.23484E-25,2.51332E-24,6.04461E-24,6.25006E-24,1.80817E-23,7.41322E-23,1.48054E-22,1.71745E-22,1.85439E-22,1.59E+10,0.00049
7.47479E-20,7.16049E-20,7.02818E-20,6.00806E-20,4.91116E-20,5.07208E-20,4.54057E-20,7.68107E-20,6.42983E-20,5.80098E-20,4.51936E-20,3.98E+06,0.00087
4.78867E-20,4.52099E-20,4.42895E-20,3.74323E-20,2.96672E-20,3.07229E-20,2.43481E-20,1.97853E-20,9.36182E-21,5.7734E-21,3.63083E-21,6.31E+06,0.00087
2.67475E-20,2.49307E-20,2.45926E-20,2.07482E-20,1.65749E-20,1.71244E-20,1.37823E-20,1.18074E-20,5.771E-21,3.73379E-21,2.54933E-21,1.00E+07,0.00087
1.41878E-20,1.33875E-20,1.32949E-20,1.15811E-20,9.68843E-21,9.96512E-21,8.44441E-21,8.79006E-21,5.55288E-21,4.20444E-21,3.36288E-21,1.59E+07,0.00087
7.91776E-21,7.62383E-21,7.49324E-21,6.58648E-21,5.72884E-21,5.84685E-21,5.23594E-21,6.66322E-21,5.96517E-21,6.15383E-21,6.41175E-21,2.51E+07,0.00087
4.7456E-21,4.65631E-21,4.55902E-21,4.21211E-21,3.78487E-21,3.83048E-21,3.57429E-21,5.52093E-21,5.22886E-21,5.30818E-21,5.65796E-21,3.98E+07,0.00087
2.67413E-21,2.65909E-21,2.6241E-21,2.51279E-21,2.37164E-21,2.37833E-21,2.34614E-21,4.01604E-21,3.19097E-21,2.85895E-21,2.5043E-21,6.31E+07,0.00087
1.49885E-21,1.5253E-21,1.5166E-21,1.49937E-21,1.46926E-21,1.4722E-21,1.54582E-21,3.02933E-21,2.58181E-21,2.43714E-21,2.2968E-21,1.00E+08,0.00087
8.20332E-22,8.46898E-22,8.53575E-22,8.82951E-22,9.0509E-22,9.02913E-22,1.01193E-21,2.29385E-21,2.11207E-21,2.08802E-21,2.02891E-21,1.59E+08,0.00087
4.4109E-22,4.64497E-22,4.77668E-22,5.20773E-22,5.65734E-22,5.60919E-22,6.78102E-22,1.67529E-21,1.66849E-21,1.67122E-21,1.64138E-21,2.51E+08,0.00087
2.27042E-22,2.45518E-22,2.59034E-22,3.03903E-22,3.54205E-22,3.4921E-22,4.57608E-22,1.26055E-21,1.25096E-21,1.24433E-21,1.21561E-21,3.98E+08,0.00087
1.05462E-22,1.17455E-22,1.26405E-22,1.6303E-22,2.10008E-22,2.06511E-22,3.0424E-22,9.10745E-22,9.96223E-22,1.0007E-21,9.76808E-22,6.31E+08,0.00087
4.20831E-23,5.09671E-23,5.83436E-23,8.26039E-23,1.17484E-22,1.16489E-22,1.99758E-22,6.48191E-22,8.34011E-22,9.40579E-22,9.8814E-22,1.00E+09,0.00087
1.21189E-23,1.64727E-23,2.36244E-23,3.99822E-23,6.25185E-23,6.23357E-23,1.23998E-22,4.57775E-22,7.0858E-22,8.19179E-22,8.82497E-22,1.59E+09,0.00087
1.5454E-24,2.60494E-24,7.22944E-24,1.94633E-23,3.4973E-23,3.52008E-23,7.84267E-23,2.96886E-22,4.88929E-22,5.45069E-22,5.77507E-22,2.51E+09,0.00087
3.36188E-25,5.46348E-25,2.0246E-24,9.54351E-24,1.99222E-23,2.03595E-23,5.21814E-23,1.95284E-22,3.5741E-22,4.07794E-22,4.35665E-22,3.98E+09,0.00087
7.68919E-26,1.23338E-25,5.10358E-25,4.61613E-24,1.20613E-23,1.27961E-23,5.15983E-23,5.17541E-22,1.78955E-21,2.36574E-21,2.80465E-21,6.31E+09,0.00087
1.91064E-26,3.01612E-26,1.31262E-25,2.31433E-24,7.64017E-24,8.76031E-24,5.64564E-23,6.85835E-22,2.40267E-21,3.17193E-21,3.81514E-21,1.00E+10,0.00087
1.34486E-26,2.18634E-26,9.03354E-26,1.85075E-24,9.93035E-24,1.74451E-23,1.19346E-22,8.60602E-22,2.35916E-21,2.91877E-21,3.24705E-21,1.59E+10,0.00087
6.87531E-20,6.4662E-20,6.29845E-20,5.237E-20,4.14218E-20,4.35038E-20,4.10558E-20,9.9474E-20,9.5741E-20,8.80943E-20,7.11936E-20,3.98E+06,0.00155
4.73231E-20,4.44497E-20,4.40435E-20,3.85166E-20,3.13151E-20,3.22261E-20,2.65151E-20,2.54196E-20,1.34181E-20,9.01628E-21,5.9675E-21,6.31E+06,0.00155
2.64735E-20,2.47254E-20,2.46209E-20,2.13234E-20,1.75404E-20,1.80303E-20,1.50532E-20,1.40963E-20,7.21671E-21,4.84302E-21,3.40864E-21,1.00E+07,0.00155
1.42678E-20,1.34685E-20,1.34716E-20,1.18479E-20,9.96789E-21,1.02551E-20,8.88177E-21,1.01334E-20,6.82007E-21,5.52152E-21,4.40237E-21,1.59E+07,0.00155
7.80026E-21,7.5369E-21,7.39097E-21,6.64052E-21,5.77588E-21,5.89485E-21,5.33821E-21,7.75354E-21,7.54811E-21,8.36723E-21,9.20115E-21,2.51E+07,0.00155
4.39866E-21,4.3014E-21,4.25225E-21,3.95393E-21,3.59304E-21,3.61346E-21,3.47413E-21,5.97818E-21,6.15473E-21,6.44772E-21,7.01982E-21,3.98E+07,0.00155
2.44512E-21,2.44211E-21,2.42979E-21,2.32193E-21,2.18511E-21,2.19704E-21,2.20826E-21,4.2313E-21,3.73351E-21,3.53327E-21,3.33768E-21,6.31E+07,0.00155
1.36178E-21,1.38456E-21,1.38726E-21,1.3846E-21,1.35898E-21,1.35931E-21,1.44667E-21,3.02941E-21,2.86595E-21,2.83982E-21,2.81007E-21,1.00E+08,0.00155
