f_APID,APID,RAJ2000_1,DEJ2000_1,Rap,Reff,fcl_g,PCID,AltID,mcor,f275w_ul,f275w_vega,f275w_err,f336w_ul,f336w_vega,f336w_err,f475w_ul,f475w_vega,f475w_err,f814w_ul,f814w_vega,f814w_err,f110w_ul,f110w_vega,f110w_err,f160w_ul,f160w_vega,f160w_err,Cl,Mcat,Simbad,recno,RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Separation_1,Region
,3714A,10.92740306,41.39606889,1.68,0.44,0.6,0,,-0.01,,19.55,0.28,,19.54,0.21,,19.63,0.18,,18.2,0.11,,17.53,0.2,,16.88,0.27,,0,Simbad,2260,10.92723592,7.82E-05,41.39603762,7.68E-05,21.62113816,0.046409813,21.65427082,0.142771941,21.30370179,0.144106385,21.05049653,0.146109791,,,0.465189216,2
,3714B,10.92740306,41.39606889,1.68,0.44,0.6,0,,-0.01,,19.55,0.28,,19.54,0.21,,19.63,0.18,,18.2,0.11,,17.53,0.2,,16.88,0.27,,0,Simbad,2260,10.92729396,4.78E-05,41.39610974,6.16E-05,21.83465908,0.085916029,21.99408285,0.140712173,21.63693676,0.16518613,21.03520093,0.188426847,21.58493318,0.098336746,0.329284193,1
,332A,10.92895,41.39684389,1.9,0.61,0.95,0,,-0.03,>,19.24,0.044584837,,19.05,0.2,,19.42,0.16,,18.9,0.32,>,17.92,0.1503876,>,16.75,0.15390909,,0,Simbad,255,10.92884539,5.54E-05,41.39674718,8.53E-05,20.90728785,0.037245025,21.38805579,0.127457125,20.76193229,0.113860195,20.09546341,0.09504966,,,0.44832956,2
,332B,10.92895,41.39684389,1.9,0.61,0.95,0,,-0.03,>,19.24,0.044584837,,19.05,0.2,,19.42,0.16,,18.9,0.32,>,17.92,0.1503876,>,16.75,0.15390909,,0,Simbad,255,10.92890574,6.16E-05,41.39684998,6.60E-05,21.03350537,0.078033712,20.72621961,0.082465328,21.66412356,0.167181706,20.55145183,0.151646119,21.2258501,0.084504005,0.121522192,1
,4039A,10.92962111,41.37571306,1.33,0.29,0.53,0,,0,,18.66,0.01,,18.82,0.02,,19.64,0.04,,17.86,0.04,,16.7,0.07,,15.81,0.08,,0,Simbad,2415,10.92950047,7.86E-05,41.37565924,9.47E-05,20.31203148,0.032237233,20.69495003,0.096008807,22.20716655,0.215754541,20.0613006,0.093615836,,,0.379121922,2
,4039B,10.92962111,41.37571306,1.33,0.29,0.53,0,,0,,18.66,0.01,,18.82,0.02,,19.64,0.04,,17.86,0.04,,16.7,0.07,,15.81,0.08,,0,Simbad,2415,10.92948463,5.32E-05,41.37568744,3.78E-05,20.86601531,0.076941596,20.73367259,0.082710094,20.12093581,0.087194701,19.97381134,0.117486837,20.44572617,0.061918762,0.380062128,1
,2603A,10.930445,41.20445889,1.43,0.21,0.72,0,,0,,17.65,0.01,,17.86,0.01,,19.17,0.02,,19.19,0.17,>,18.73,0.1503876,>,17.73,0.15390909,,0,Simbad,1675,10.93034431,1.29E-04,41.20444524,1.03E-04,19.56359305,0.060608587,19.29544345,0.072386117,21.7718001,0.171632134,18.69208694,0.088246492,,,0.277108193,7
,2603B,10.930445,41.20445889,1.43,0.21,0.72,0,,0,,17.65,0.01,,17.86,0.01,,19.17,0.02,,19.19,0.17,>,18.73,0.1503876,>,17.73,0.15390909,,0,Simbad,1675,10.93039231,1.97E-05,41.20441621,4.46E-05,19.62185831,0.072304332,19.26979283,0.049656389,19.68752288,0.073972543,19.15602866,0.082928945,19.45368739,0.044158735,0.209695473,1
,1675A,10.93433306,41.18758611,1.1,0.27,0.82,0,,0,,19.44,0.12,,19.57,0.11,,20.56,0.15,>,20.04,0.13882075,>,18.9,0.1503876,>,18.29,0.15390909,,0,Simbad,1118,10.93430789,7.44E-05,41.1876018,6.66E-05,21.26697235,0.101007912,20.91334641,0.130446602,21.45048631,0.149582125,19.79606581,0.137786327,,,0.088534201,7
,1675B,10.93433306,41.18758611,1.1,0.27,0.82,0,,0,,19.44,0.12,,19.57,0.11,,20.56,0.15,>,20.04,0.13882075,>,18.9,0.1503876,>,18.29,0.15390909,,0,Simbad,1118,10.93433462,1.45E-05,41.18752728,2.79E-05,21.11411569,0.078616206,20.69094007,0.08131958,20.87552428,0.118749418,20.79379945,0.169023632,21.06997788,0.079234014,0.211847448,1
,3014A,10.93528111,41.14273889,1.5,0.29,0.67,0,,0,,19.23,0.03,,19.48,0.04,,20.72,0.13,>,20.02,0.13882075,>,18.76,0.1503876,>,17.82,0.15390909,,0,Simbad,1900,10.93533437,5.72E-05,41.14271985,4.32E-05,21.01884471,0.092291709,21.77842387,0.188515359,20.36293819,0.096757102,20.38987883,0.178202142,,,0.159831337,7
,3014B,10.93528111,41.14273889,1.5,0.29,0.67,0,,0,,19.23,0.03,,19.48,0.04,,20.72,0.13,>,20.02,0.13882075,>,18.76,0.1503876,>,17.82,0.15390909,,0,Simbad,1900,10.93535414,2.67E-05,41.14272044,5.97E-05,20.92915701,0.077335434,20.72248907,0.082343169,21.74229118,0.173066264,20.50951037,0.148836164,20.70946752,0.068547605,0.208836543,1
E,4226A,10.93841,41.20225389,2.54,0.73,0.47,0,,-0.02,,18.15,0.07,,18.12,0.04,,18.94,0.04,,18.83,0.29,>,19.09,0.1503876,>,18.01,0.15390909,,0,Simbad,2482,10.93828791,1.13E-04,41.20214556,1.10E-04,22.34906761,0.155878064,20.75692501,0.122378898,19.87196416,0.081328075,21.14021036,0.248889631,,,0.511335824,7
E,4226B,10.93841,41.20225389,2.54,0.73,0.47,0,,-0.02,,18.15,0.07,,18.12,0.04,,18.94,0.04,,18.83,0.29,>,19.09,0.1503876,>,18.01,0.15390909,,0,Simbad,2482,10.93835294,2.99E-05,41.20209497,6.58E-05,21.55961483,0.082628182,20.92179525,0.089213358,20.75746848,0.112981466,20.29737607,0.135452513,21.63723267,0.100565109,0.592620883,1
,16,10.93954111,41.14917,2.06,0.92,1,0,KHM31-494,-0.14,,20.12,0.09,,20.02,0.19,,19.66,0.04,,17.98,0.09,,16.86,0.1,,15.94,0.1,,0,Simbad,14,10.93974706,8.09E-05,41.14927867,9.73E-05,22.99927549,0.110198456,22.0495856,0.144185892,22.64249816,0.259175287,22.08611965,0.303808989,23.00868791,0.184444705,0.68170317,1
,2179A,10.94070806,41.40575611,1.57,0.36,0.76,0,,0,,19.41,0.04,,19.34,0.03,,19.66,0.05,,19.42,0.32,>,18.28,0.1503876,>,17.25,0.15390909,,0,Simbad,1429,10.9405537,6.66E-05,41.40571869,6.96E-05,21.51459621,0.044778913,21.99676565,0.165657585,21.05557765,0.129263608,21.06845398,0.147306037,,,0.43801632,2
,2179B,10.94070806,41.40575611,1.57,0.36,0.76,0,,0,,19.41,0.04,,19.34,0.03,,19.66,0.05,,19.42,0.32,>,18.28,0.1503876,>,17.25,0.15390909,,0,Simbad,1429,10.94061846,9.41E-05,41.40573132,8.30E-05,21.60008127,0.083068688,21.44929467,0.111154702,21.11443922,0.131508789,20.46410767,0.145856806,21.33763536,0.088547438,0.25785819,1
,2857,10.94426889,41.48634111,1.06,0.31,0.6,0,,-0.02,,20.33,0.18,,20.46,0.03,,20.67,0.06,,19.75,0.25,>,18.71,0.1503876,>,17.7,0.15390909,,0,Simbad,1821,10.94425444,6.34E-05,41.48633286,2.96E-05,22.48338046,0.063900152,22.97134047,0.255679556,22.15014814,0.210273203,22.26673586,0.254596707,,,0.048987394,2
