F148W,F169M,F172M,N219M,N279N,u_prime,g_prime,r_prime,i_prime,z_prime,IRAC1,IRAC2,age,Z
4.02E-21,3.94E-21,3.92E-21,3.65E-21,3.32E-21,3.48173E-21,5.67656E-21,5.93485E-21,6.2821E-21,6.72541E-21,2.82283E-21,1.21573E-21,3.98E+07,0.00274
2.24E-21,2.24E-21,2.25E-21,2.19E-21,2.07E-21,2.32445E-21,3.96373E-21,3.99582E-21,3.87681E-21,3.92688E-21,1.18479E-21,5.1599E-22,6.31E+07,0.00274
1.27E-21,1.30E-21,1.31E-21,1.33E-21,1.32E-21,1.57581E-21,2.84543E-21,2.94136E-21,2.92053E-21,2.9809E-21,1.1066E-21,5.42419E-22,1.00E+08,0.00274
7.04E-22,7.37E-22,7.50E-22,8.01E-22,8.37E-22,1.09915E-21,2.13238E-21,2.20209E-21,2.19104E-21,2.21208E-21,8.20084E-22,3.82362E-22,1.59E+08,0.00274
3.68E-22,3.96E-22,4.09E-22,4.66E-22,5.18E-22,7.70577E-22,1.63204E-21,1.6579E-21,1.65393E-21,1.67873E-21,6.03476E-22,2.76686E-22,2.51E+08,0.00274
1.78E-22,1.98E-22,2.08E-22,2.51E-22,2.97E-22,5.09068E-22,1.15725E-21,1.24954E-21,1.26836E-21,1.30826E-21,4.41909E-22,1.97615E-22,3.98E+08,0.00274
7.28E-23,8.72E-23,9.69E-23,1.26E-22,1.62E-22,3.23778E-22,8.30881E-22,9.46551E-22,9.98702E-22,1.06602E-21,6.00214E-22,3.12728E-22,6.31E+08,0.00274
2.01E-23,2.75E-23,3.82E-23,6.03E-23,8.59E-23,2.06424E-22,5.80731E-22,7.0634E-22,7.65554E-22,8.19798E-22,4.5291E-22,2.32002E-22,1.00E+09,0.00274
2.62E-24,4.26E-24,1.13E-23,2.73E-23,4.56E-23,1.57183E-22,5.22224E-22,8.10837E-22,9.66728E-22,1.07592E-21,5.82931E-22,2.98549E-22,1.59E+09,0.00274
3.42E-25,5.56E-25,2.10E-24,1.11E-23,2.19E-23,7.87295E-23,2.41407E-22,3.80156E-22,4.58729E-22,5.11749E-22,2.14463E-22,9.44615E-23,2.51E+09,0.00274
8.64E-26,1.36E-25,5.40E-25,5.02E-24,1.14E-23,4.99116E-23,1.57405E-22,2.64049E-22,3.25905E-22,3.64957E-22,1.55152E-22,6.85554E-23,3.98E+09,0.00274
