f275w_ul,f275w_vega,f275w_err_orig,f275w_err,,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,,F148W_ul,F148W_AB,F148W_err,,F172M_ul,F172M_AB,F172M_err,,N219M_ul,N219M_AB,N219M_err,,N279N_ul,N279N_AB,N279N_err,,F169M_ul,F169M_AB,F169M_err_orig,F169M_err
 ,18.85,0.02,0.02,, ,18.9,0.01,0.01,, ,19.85,0.03,0.03,, ,19.71,0.3,0.3,,>,18.75,,0.01,,>,17.79,,0.01,,,20.66973298,0.035002498,,,20.96546534,0.106973539,,,20.63430285,0.107827623,,,,,,,,,0.01
 ,17.75,0.01,0.01,, ,18.07,0.01,0.01,, ,19.43,0.06,0.06,, ,19.33,0.26,0.26,,>,18.24,,0.01,,>,17.11,,0.01,,,19.59910177,0.072258045,,,19.220688,0.048968275,,,19.51843412,0.069609904,,,,,,,18.52950586,0.045097372,0.045097372
 ,18.28,0.03,0.03,, ,18.36,0.03,0.03,, ,19.76,0.03,0.03,,>,20.2,,0.01,,>,19.25,,0.01,,>,18.35,,0.01,,,19.80559019,0.029353222,,,19.84211005,0.070268526,,,19.92493271,0.080522232,,,,,,,,,0.01
 ,19.78,0.05,0.05,, ,19.14,0.01,0.01,, ,18.97,0.02,0.02,, ,17.56,0.1,0.1,, ,16.68,0.21,0.21,, ,15.94,0.27,0.27,,,22.67814683,0.069100985,,,22.16897157,0.178680962,,,22.07819621,0.203562638,,,,,,,,,0.01
 ,18.59,0.01,0.01,, ,18.58,0.01,0.01,, ,19.13,0.04,0.04,, ,17.84,0.09,0.09,, ,17.3,0.18,0.18,, ,16.52,0.1,0.1,,,20.58850496,0.034313612,,,21.06189527,0.11126838,,,20.64592673,0.108361402,,,,,,,,,0.01
 ,16.3,0.05,0.05,, ,16.58,0.05,0.05,, ,17.93,0.07,0.07,, ,17.8,0.08,0.08,, ,17.73,0.17,0.17,, ,17.46,0.34,0.34,,,17.66385687,0.024582711,,,18.39483771,0.047928604,,,17.88216501,0.04189952,,,,,,,,,0.01
 ,18.63,0.01,0.01,, ,18.69,0.01,0.01,, ,19.23,0.02,0.02,, ,18.12,0.05,0.05,, ,17.27,0.09,0.09,, ,16.45,0.1,0.1,,,20.72245219,0.035470184,,,20.96633365,0.107011271,,,20.53722465,0.103488156,,,,,,,,,0.01
 ,16.9,0.02,0.02,, ,15.89,0.01,0.01,, ,15.37,0.01,0.01,, ,13.74,0.01,0.01,, ,13.05,0.01,0.01,, ,12.31,0.01,0.01,,,20.00767977,0.067389929,,,20.01926385,0.092121432,,,19.44962599,0.071173245,,,,,,,,,0.01
 ,18.34,0.01,0.01,, ,18.54,0.01,0.01,, ,19.77,0.02,0.02,, ,19.64,0.14,0.14,,>,19.89,,0.01,,>,18.89,,0.01,,,20.39760616,0.032837712,,,20.53883181,0.090355805,,,20.23912194,0.091410396,,,,,,,,,0.01
 ,17,0.24,0.24,, ,16.84,0.13,0.13,, ,17.91,0.12,0.12,, ,17.29,0.17,0.17,, ,16.79,0.17,0.17,, ,16.46,0.31,0.31,,,18.95489829,0.026443577,,,19.81060507,0.069534894,,,19.36519102,0.06509075,,,,,,,,,0.01
