F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,,,ageuniq,Zuniq,ageconv,Zconv
4.49385E-26,7.18575E-26,3.07755E-25,3.57851E-24,1.03938E-23,1.14462E-23,5.93372E-23,1.40871E-21,2.23996E-21,2.93362E-21,3.46878E-21,,,7840000000,0.00045,0.989431606,-1.662757832
1.0103E-26,1.58757E-26,7.02367E-26,1.7882E-24,7.72423E-24,1.02176E-23,8.06231E-23,1.67595E-21,2.46482E-21,3.1492E-21,3.64368E-21,,,13500000000,0.00076,1.013033377,-1.435156753
6.96062E-20,6.57984E-20,6.40969E-20,5.38536E-20,4.36627E-20,4.53428E-20,4.23629E-20,2.00721E-19,8.59541E-20,7.61426E-20,6.10178E-20,,,3980000,0.00129,0.659988307,-1.205380635
4.29304E-20,4.07427E-20,4.05713E-20,3.47817E-20,2.79162E-20,2.8963E-20,2.31685E-20,4.20875E-20,9.67807E-21,6.10373E-21,3.93731E-21,,,6840000,0.00218,0.68350561,-0.977513852
2.16462E-20,2.03325E-20,2.02594E-20,1.75386E-20,1.44115E-20,1.48684E-20,1.24454E-20,2.6497E-20,6.52264E-21,4.42744E-21,3.09861E-21,,,11800000,0.00368,0.707188201,-0.750122527
1.04244E-20,9.94203E-21,9.78882E-21,8.76855E-21,7.54E-21,7.70376E-21,6.77239E-21,1.753E-20,7.17595E-21,7.27475E-21,7.41632E-21,,,20200000,0.00619,0.730535137,-0.524279696
5.407E-21,5.26665E-21,5.18999E-21,4.73302E-21,4.28692E-21,4.34348E-21,4.03385E-21,1.3749E-20,6.82256E-21,7.4497E-21,8.28236E-21,,,34800000,0.01035,0.754157924,-0.301029996
2.70361E-21,2.68847E-21,2.6676E-21,2.54789E-21,2.39062E-21,2.39605E-21,2.38824E-21,9.18818E-21,3.67686E-21,3.38783E-21,3.16658E-21,,,59800000,0.01712,0.777670118,-0.082466585
1.35467E-21,1.37696E-21,1.37996E-21,1.37465E-21,1.35189E-21,1.35122E-21,1.44741E-21,6.4737E-21,2.75001E-21,2.67384E-21,2.58779E-21,,,103000000,0.00016,0.801283722,-2.111850363
6.73997E-22,6.99258E-22,7.09084E-22,7.49817E-22,7.83109E-22,7.77738E-22,8.9798E-22,4.4124E-21,2.07103E-21,2.09662E-21,2.11533E-21,,,177000000,0.00026,0.824797327,-1.900996997
3.19569E-22,3.41236E-22,3.54846E-22,4.03358E-22,4.52604E-22,4.48034E-22,5.66587E-22,3.13076E-21,1.48591E-21,1.47681E-21,1.47739E-21,,,304000000,0.00045,0.848287358,-1.662757832
