F148W,F169M,F172M,N219M,N279N,uprime,gprime,rprime,iprime,zprime,IRAC1,IRAC2,ageconv,Zconv
2.4548E-27,3.83518E-27,1.73311E-26,7.59542E-25,3.18675E-24,6.06866E-23,5.39546E-22,1.4482E-21,2.02728E-21,2.44297E-21,1.17479E-21,7.13797E-22,1.013033377,-0.977513852
7.60281E-20,7.10026E-20,7.06689E-20,6.0594E-20,4.65712E-20,4.30715E-20,6.93727E-20,8.94276E-20,1.00203E-19,1.01677E-19,2.81279E-20,1.81792E-20,0.659988307,-0.750122527
3.84486E-20,3.53854E-20,3.61515E-20,3.19488E-20,2.61212E-20,2.39244E-20,2.80424E-20,2.67242E-20,2.53001E-20,2.50617E-20,7.82712E-21,4.6432E-21,0.68350561,-0.750122527
2.00741E-20,1.8769E-20,1.87258E-20,1.69344E-20,1.42208E-20,1.29694E-20,1.37593E-20,1.11397E-20,9.64214E-21,8.6133E-21,1.84882E-21,1.14724E-21,0.707188201,-0.750122527
8.78217E-21,8.32146E-21,8.26197E-21,7.28134E-21,6.21496E-21,6.12542E-21,9.34577E-21,9.73942E-21,1.02626E-20,1.10897E-20,4.56568E-21,2.72174E-21,0.730535137,-0.750122527
4.55872E-21,4.44216E-21,4.43548E-21,4.10366E-21,3.68105E-21,3.74942E-21,5.90432E-21,6.92976E-21,7.715E-21,8.80034E-21,4.31497E-21,2.56834E-21,0.754157924,-0.750122527
2.31849E-21,2.32432E-21,2.33107E-21,2.2708E-21,2.15417E-21,2.3798E-21,4.04548E-21,4.04978E-21,4.02759E-21,4.09917E-21,1.33508E-21,8.00835E-22,0.777670118,-0.750122527
1.18275E-21,1.22088E-21,1.23175E-21,1.27212E-21,1.27737E-21,1.54171E-21,2.79737E-21,2.79568E-21,2.81302E-21,2.8388E-21,1.07845E-21,7.35399E-22,0.801283722,-0.750122527
5.74474E-22,6.11467E-22,6.26856E-22,6.88433E-22,7.3808E-22,1.00844E-21,1.99767E-21,2.01488E-21,2.0016E-21,2.03975E-21,7.66832E-22,4.88972E-22,0.824797327,-0.750122527
2.56168E-22,2.80513E-22,2.93459E-22,3.43763E-22,3.92098E-22,6.28243E-22,1.38419E-21,1.44267E-21,1.48553E-21,1.5125E-21,5.21686E-22,3.25887E-22,0.848287358,-0.750122527
9.30011E-23,1.11318E-22,1.2161E-22,1.55159E-22,1.93976E-22,3.70111E-22,9.33446E-22,1.03072E-21,1.09113E-21,1.14181E-21,5.95695E-22,4.25025E-22,0.87176705,-0.750122527
2.06583E-23,2.9807E-23,4.22356E-23,6.39281E-23,9.12274E-23,2.16442E-22,6.1778E-22,7.46492E-22,8.11162E-22,8.77532E-22,4.9161E-22,3.51608E-22,0.895279244,-0.750122527
1.7492E-24,2.87508E-24,8.79244E-24,2.43737E-23,4.14607E-23,1.44516E-22,4.74351E-22,7.31229E-22,8.66722E-22,9.71557E-22,5.30891E-22,3.83382E-22,0.918752072,-0.750122527
1.65405E-25,2.59958E-25,1.02073E-24,7.84836E-24,1.63931E-23,6.84257E-23,2.22349E-22,3.68469E-22,4.54776E-22,5.14406E-22,2.23777E-22,1.35475E-22,0.942324587,-0.750122527
3.83983E-26,5.90997E-26,2.35497E-25,3.22014E-24,7.78901E-24,3.90058E-23,1.27363E-22,2.24275E-22,2.76724E-22,3.17746E-22,1.3666E-22,8.36608E-23,0.965896484,-0.750122527
5.95427E-27,8.92653E-27,4.04242E-26,1.20679E-24,3.60753E-24,2.40438E-23,1.21764E-22,3.21719E-22,5.61161E-22,7.90534E-22,6.09534E-22,3.58959E-22,0.989431606,-0.750122527
9.11046E-28,1.4114E-27,6.25371E-27,4.08618E-25,1.81028E-24,3.45612E-23,3.77506E-22,1.09833E-21,1.56142E-21,1.94194E-21,1.05906E-21,6.23452E-22,1.013033377,-0.750122527
7.75892E-20,7.23719E-20,7.27704E-20,6.57046E-20,5.3158E-20,5.2102E-20,7.23626E-20,6.84355E-20,6.06353E-20,5.83774E-20,1.09651E-20,7.1129E-21,0.659988307,-0.524279696
3.61147E-20,3.30822E-20,3.36932E-20,2.9836E-20,2.39469E-20,2.24842E-20,3.02394E-20,3.37337E-20,3.56016E-20,3.83728E-20,1.32085E-20,8.38155E-21,0.68350561,-0.524279696
1.87178E-20,1.76628E-20,1.77491E-20,1.60376E-20,1.37626E-20,1.26432E-20,1.3916E-20,1.16206E-20,1.05711E-20,1.01763E-20,3.3567E-21,1.9905E-21,0.707188201,-0.524279696
8.36859E-21,7.95195E-21,8.01226E-21,7.23866E-21,6.24116E-21,5.84241E-21,8.23527E-21,8.78659E-21,9.45937E-21,1.08591E-20,5.2927E-21,3.0862E-21,0.730535137,-0.524279696
4.23356E-21,4.15406E-21,4.19795E-21,3.97811E-21,3.62866E-21,3.66909E-21,5.61202E-21,6.09721E-21,6.88816E-21,7.77582E-21,4.02182E-21,2.35574E-21,0.754157924,-0.524279696
2.18292E-21,2.21787E-21,2.24592E-21,2.25091E-21,2.17557E-21,2.43325E-21,3.96087E-21,3.81175E-21,3.78848E-21,3.77251E-21,1.26301E-21,7.51819E-22,0.777670118,-0.524279696
1.08145E-21,1.13513E-21,1.15687E-21,1.22682E-21,1.25853E-21,1.5643E-21,2.86314E-21,2.78292E-21,2.70942E-21,2.70759E-21,1.12152E-21,7.62113E-22,0.801283722,-0.524279696
5.08599E-22,5.49084E-22,5.66739E-22,6.36225E-22,6.91281E-22,9.73004E-22,1.93418E-21,1.99136E-21,1.99548E-21,2.00872E-21,8.09429E-22,5.17065E-22,0.824797327,-0.524279696
2.14307E-22,2.41524E-22,2.5817E-22,3.07325E-22,3.55087E-22,5.77255E-22,1.32395E-21,1.37506E-21,1.40883E-21,1.44324E-21,5.85496E-22,3.74545E-22,0.848287358,-0.524279696
6.76362E-23,8.47616E-23,9.80939E-23,1.30578E-22,1.6794E-22,3.35947E-22,9.06889E-22,9.96283E-22,1.05152E-21,1.12273E-21,7.25874E-22,5.62522E-22,0.87176705,-0.524279696
9.23622E-24,1.46001E-23,2.77623E-23,5.07473E-23,7.48853E-23,1.91389E-22,5.79719E-22,7.16038E-22,7.86703E-22,8.55109E-22,5.36411E-22,4.07911E-22,0.895279244,-0.524279696
6.80682E-25,1.11129E-24,3.94008E-24,1.78481E-23,3.16979E-23,1.18227E-22,3.99251E-22,6.28396E-22,7.56529E-22,8.66327E-22,5.49517E-22,3.96262E-22,0.918752072,-0.524279696
6.4311E-26,1.00809E-25,4.07763E-25,5.3407E-24,1.18183E-23,5.53771E-23,1.85124E-22,3.16918E-22,3.94826E-22,4.50388E-22,2.2023E-22,1.31592E-22,0.942324587,-0.524279696
1.43495E-26,2.13525E-26,8.2852E-26,1.94392E-24,5.12056E-24,3.07793E-23,1.11536E-22,2.02335E-22,2.60964E-22,3.09481E-22,1.49819E-22,9.03615E-23,0.965896484,-0.524279696
1.7822E-27,2.7686E-27,1.22523E-26,6.41579E-25,2.22002E-24,1.69044E-23,6.74083E-23,1.30141E-22,1.71155E-22,2.00306E-22,9.70416E-23,5.88809E-23,0.989431606,-0.524279696
2.31868E-28,3.59967E-28,1.57044E-27,1.73024E-25,9.23698E-25,1.53348E-23,2.16504E-22,7.50346E-22,1.2137E-21,1.63442E-21,1.13322E-21,6.64368E-22,1.013033377,-0.524279696
7.5144E-20,6.94348E-20,7.16967E-20,6.58626E-20,5.3346E-20,4.79273E-20,4.97291E-20,3.90808E-20,3.22402E-20,2.80559E-20,4.07535E-21,2.66712E-21,0.659988307,-0.301029996
3.41023E-20,3.10916E-20,3.18384E-20,2.82672E-20,2.21711E-20,1.86086E-20,2.37088E-20,3.3269E-20,4.1457E-20,4.33452E-20,1.85143E-20,1.04311E-20,0.68350561,-0.301029996
1.82652E-20,1.71649E-20,1.77555E-20,1.63728E-20,1.44442E-20,1.31339E-20,1.35803E-20,1.08694E-20,1.00413E-20,9.91323E-21,4.02798E-21,2.32886E-21,0.707188201,-0.301029996
7.93493E-21,7.58295E-21,7.80314E-21,7.23132E-21,6.30815E-21,5.4448E-21,6.47372E-21,7.51468E-21,9.10493E-21,1.07618E-20,6.74549E-21,3.85081E-21,0.730535137,-0.301029996
4.01577E-21,4.0077E-21,4.10676E-21,4.05242E-21,3.80128E-21,3.97087E-21,5.86658E-21,5.6847E-21,6.28654E-21,7.37506E-21,4.33766E-21,2.40264E-21,0.754157924,-0.301029996
1.98328E-21,2.04605E-21,2.09477E-21,2.15966E-21,2.13069E-21,2.44219E-21,4.0327E-21,3.74779E-21,3.61903E-21,3.65098E-21,1.20967E-21,7.14526E-22,0.777670118,-0.301029996
9.56898E-22,1.02306E-21,1.04784E-21,1.13909E-21,1.18658E-21,1.51732E-21,2.73961E-21,2.72677E-21,2.64102E-21,2.6778E-21,1.1837E-21,8.04802E-22,0.801283722,-0.301029996
4.27083E-22,4.7668E-22,4.98283E-22,5.75257E-22,6.29982E-22,8.99417E-22,1.82954E-21,1.86246E-21,1.89338E-21,1.96172E-21,8.98664E-22,5.737E-22,0.824797327,-0.301029996
1.64817E-22,1.92306E-22,2.12515E-22,2.65017E-22,3.10537E-22,5.2748E-22,1.2748E-21,1.3062E-21,1.32504E-21,1.35944E-21,6.12608E-22,3.82149E-22,0.848287358,-0.301029996
3.81082E-23,5.27314E-23,7.22953E-23,1.05727E-22,1.40724E-22,3.00317E-22,8.64281E-22,9.45051E-22,9.99131E-22,1.0871E-21,7.84175E-22,5.90483E-22,0.87176705,-0.301029996
2.98354E-24,4.93286E-24,1.39931E-23,3.74407E-23,5.54792E-23,1.6616E-22,5.28916E-22,6.73794E-22,7.60833E-22,8.52859E-22,5.83977E-22,4.07365E-22,0.895279244,-0.301029996
2.18638E-25,3.51562E-25,1.40097E-24,1.1125E-23,2.14766E-23,9.36213E-23,3.28713E-22,5.14569E-22,6.18634E-22,7.1341E-22,4.90134E-22,3.03696E-22,0.918752072,-0.301029996
1.98692E-26,2.99913E-26,1.13007E-25,2.9509E-24,7.63824E-24,4.343E-23,1.57886E-22,2.77511E-22,3.55493E-22,4.25933E-22,2.35398E-22,1.38055E-22,0.942324587,-0.301029996
6.30378E-27,8.53644E-27,2.37296E-26,9.69143E-25,3.15015E-24,2.30823E-23,9.6464E-23,1.83702E-22,2.43523E-22,2.92254E-22,1.66897E-22,9.88115E-23,0.965896484,-0.301029996
4.92008E-28,7.79149E-28,3.14205E-27,2.73378E-25,1.27437E-24,1.21164E-23,5.67381E-23,1.14611E-22,1.54444E-22,1.88472E-22,1.00062E-22,5.97833E-23,0.989431606,-0.301029996
